基金代码,拼音缩写,基金简称,基金类型,拼音全称
020600,GSABJQYXHHFQSA,国寿安保景气优选混合发起式A,混合型-偏股,GUOSHOUANBAOJINGQIYOUXUANHUNHEFAQISHIA
020601,GSABJQYXHHFQSC,国寿安保景气优选混合发起式C,混合型-偏股,GUOSHOUANBAOJINGQIYOUXUANHUNHEFAQISHIC
020624,XAXNYJXHHC,信澳新能源精选混合C,混合型-偏股,XINAOXINNENGYUANJINGXUANHUNHEC
020637,HTZJJZYJ18GYCYHHFQA,华泰紫金价值远见18个月持有混合发起A,混合型-偏股,HUATAIZIJINJIAZHIYUANJIAN18GEYUECHIYOUHUNHEFAQIA
020638,HTZJJZYJ18GYCYHHFQC,华泰紫金价值远见18个月持有混合发起C,混合型-偏股,HUATAIZIJINJIAZHIYUANJIAN18GEYUECHIYOUHUNHEFAQIC
020645,NFZHHHA,南方智弘混合A,混合型-偏股,NANFANGZHIHONGHUNHEA
020646,NFZHHHC,南方智弘混合C,混合型-偏股,NANFANGZHIHONGHUNHEC
020648,NAZXPJXHHC,诺安中小盘精选混合C,混合型-偏股,NUOANZHONGXIAOPANJINGXUANHUNHEC
020649,NAZXPJXHHD,诺安中小盘精选混合D,混合型-偏股,NUOANZHONGXIAOPANJINGXUANHUNHED
020653,HSQHXTHHA,恒生前海兴泰混合A,混合型-偏股,HENGSHENGQIANHAIXINGTAIHUNHEA
020654,HSQHXTHHC,恒生前海兴泰混合C,混合型-偏股,HENGSHENGQIANHAIXINGTAIHUNHEC
020657,XAHLZXHHA,信澳红利智选混合A,混合型-偏股,XINAOHONGLIZHIXUANHUNHEA
020658,XAHLZXHHC,信澳红利智选混合C,混合型-偏股,XINAOHONGLIZHIXUANHUNHEC
020659,NADTJJGPD,诺安低碳经济股票D,股票型,NUOANDITANJINGJIGUPIAOD
020661,ZJKJCXHHFQSA,中加科技创新混合发起式A,混合型-偏股,ZHONGJIAKEJICHUANGXINHUNHEFAQISHIA
020662,ZJKJCXHHFQSC,中加科技创新混合发起式C,混合型-偏股,ZHONGJIAKEJICHUANGXINHUNHEFAQISHIC
020669,GTRYHXHBHHA,国投瑞银弘信回报混合A,混合型-偏股,GUOTOURUIYINHONGXINHUIBAOHUNHEA
020682,JXHBCYGPC,建信环保产业股票C,股票型,JIANXINHUANBAOCHANYEGUPIAOC
020693,CCJKXFHHC,长城健康消费混合C,混合型-偏股,CHANGCHENGJIANKANGXIAOFEIHUNHEC
020695,HFTHLYXHHA,海富通红利优选混合A,混合型-偏股,HAIFUTONGHONGLIYOUXUANHUNHEA
020696,HFTHLYXHHC,海富通红利优选混合C,混合型-偏股,HAIFUTONGHONGLIYOUXUANHUNHEC
