fund_code,entity_type,fetch_timestamp,akshare_version,is_success,record_count,error_message,elapsed_seconds,data_hash
000001,basic_info,2026-06-04 14:03:59.498894,1.18.64,True,14,,2.91,23dcf6653f548739
000001,holdings,2026-06-04 14:04:42.852113,1.18.64,True,745,,0.0,N/A
000001,industry,2026-06-04 14:04:48.563122,1.18.64,True,26,,2.58,5e23f34c81ee45e2
000001,nav,2026-06-04 14:04:09.220084,1.18.64,True,5934,,7.37,e0c40b45a1406fd2
000409,basic_info,2026-06-04 14:25:40.764898,1.18.64,True,14,,2.32,4681c352692308da
000409,holdings,2026-06-04 14:26:16.088272,1.18.64,True,1085,,0.0,N/A
000409,industry,2026-06-04 14:26:23.846161,1.18.64,True,21,,5.13,52548c42e80cb1d3
000409,nav,2026-06-04 14:25:49.593156,1.18.64,True,2955,,6.6,d1efa478ca7bd865
000697,basic_info,2026-06-04 14:16:18.396661,1.18.64,True,14,,2.98,1965ef8143d7ef9d
000697,holdings,2026-06-04 14:16:46.075832,1.18.64,True,629,,0.0,N/A
000697,industry,2026-06-04 14:16:53.884902,1.18.64,True,22,,4.88,f5b856afb122501f
000697,nav,2026-06-04 14:16:28.001927,1.18.64,True,2839,,7.38,3164ef9359d9a985
000978,basic_info,2026-06-04 14:28:37.355645,1.18.64,True,14,,3.77,bb6072277064b04e
000978,holdings,2026-06-04 14:31:15.212905,1.18.64,True,6038,,0.0,N/A
000978,industry,2026-06-04 14:31:22.626319,1.18.64,True,70,,3.94,6c7aa19354deb4a3
000978,nav,2026-06-04 14:28:51.788539,1.18.64,True,2727,,12.09,b66b15545ea0e49d
001071,basic_info,2026-06-04 14:16:59.358892,1.18.64,True,14,,3.38,a7b6a824b283e945
001071,holdings,2026-06-04 14:18:27.299696,1.18.64,True,877,,0.0,N/A
001071,industry,2026-06-04 14:18:38.081365,1.18.64,True,43,,6.4,a7fe7245f266281b
001071,nav,2026-06-04 14:17:12.738615,1.18.64,True,2664,,10.62,49ca46c0b26a89bd
001480,basic_info,2026-06-04 14:26:27.881034,1.18.64,True,14,,2.0,b87c14ac905e680f
001480,holdings,2026-06-04 14:27:19.219377,1.18.64,True,505,,0.0,N/A
001480,industry,2026-06-04 14:27:26.166949,1.18.64,True,21,,3.75,9f964e1229b029bf
001480,nav,2026-06-04 14:26:46.305461,1.18.64,True,2630,,15.95,d4a7d99040f48e19
001810,basic_info,2026-06-04 14:31:26.395677,1.18.64,True,14,,1.74,974f7b2d0050df60
001810,holdings,2026-06-04 14:31:48.252681,1.18.64,True,828,,0.0,N/A
001810,industry,2026-06-04 14:31:56.472135,1.18.64,True,29,,5.04,f9eab3eef81a004c
001810,nav,2026-06-04 14:31:33.429998,1.18.64,True,2585,,4.89,ab875f54aa26d156
001938,basic_info,2026-06-04 14:18:44.924959,1.18.64,True,14,,4.79,18cc36f5887f5b4a
001938,holdings,2026-06-04 14:19:16.410199,1.18.64,True,1101,,0.0,N/A
001938,industry,2026-06-04 14:19:25.618653,1.18.64,True,42,,6.12,5253047ffa12d304
001938,nav,2026-06-04 14:18:54.635469,1.18.64,True,2563,,7.47,0bf9df8801445735
002939,basic_info,2026-06-04 14:11:04.829855,1.18.64,True,14,,2.54,7e230c666f461115
002939,holdings,2026-06-04 14:11:39.346214,1.18.64,True,228,,0.0,N/A
002939,industry,2026-06-04 14:11:49.249632,1.18.64,True,24,,6.49,b69a83c327244555
002939,nav,2026-06-04 14:11:14.711583,1.18.64,True,2359,,7.68,069e88f6a464dfe6
003095,basic_info,2026-06-04 14:19:32.471921,1.18.64,True,14,,4.74,52d258da8f4af5ba
003095,holdings,2026-06-04 14:20:13.937751,1.18.64,True,1184,,0.0,N/A
003095,industry,2026-06-04 14:20:19.542294,1.18.64,True,20,,2.88,33414593e7478033
003095,nav,2026-06-04 14:19:43.948595,1.18.64,True,2342,,9.01,6bdb5f9efeb88a7c
004851,basic_info,2026-06-04 14:20:24.301148,1.18.64,True,14,,2.72,277f723d49535c52
004851,holdings,2026-06-04 14:21:16.091713,1.18.64,True,640,,0.0,N/A
004851,industry,2026-06-04 14:21:22.997155,1.18.64,True,19,,4.08,af81c62bd206164b
004851,nav,2026-06-04 14:20:35.558825,1.18.64,True,2128,,8.86,eae5aaf7c076868e
005267,basic_info,2026-06-04 14:21:27.100168,1.18.64,True,14,,2.05,ddb0a1a3e8a23dd3
005267,holdings,2026-06-04 14:21:49.907818,1.18.64,True,197,,0.0,N/A
005267,industry,2026-06-04 14:21:55.768227,1.18.64,True,28,,3.08,e7a4e8238c111b7f
005267,nav,2026-06-04 14:21:34.922092,1.18.64,True,2054,,5.66,80f5f03dd451971c
005827,basic_info,2026-06-04 14:11:54.268882,1.18.64,True,14,,2.97,b96b654747a4aa52
005827,holdings,2026-06-04 14:12:18.389442,1.18.64,True,458,,0.0,N/A
005827,industry,2026-06-04 14:12:23.079901,1.18.64,True,42,,1.95,da8ace0eefd0560d
005827,nav,2026-06-04 14:12:03.711385,1.18.64,True,1853,,7.32,60de57debc45b6c2
006228,basic_info,2026-06-04 14:21:59.905975,1.18.64,True,14,,2.1,55d28aa450c30f5e
006228,holdings,2026-06-04 14:22:25.742199,1.18.64,True,745,,0.0,N/A
006228,industry,2026-06-04 14:22:30.436734,1.18.64,True,21,,2.11,c389321ee3db4d4f
006228,nav,2026-06-04 14:22:07.580560,1.18.64,True,1751,,5.51,6a5440d4045a81e8
020005,basic_info,2026-06-04 14:04:53.469302,1.18.64,True,14,,2.86,979cc39b0b4d32f2
020005,holdings,2026-06-04 14:05:30.254760,1.18.64,True,682,,0.0,N/A
